id,question,query,choice_labels,gold_letters,option_texts_json,option_a,option_b,option_c,option_d
en_0011,"Which of the following best identifies an internal trait that may lead to poor ethical
decision making?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Which of the following best identifies an internal trait that may lead to poor ethical
decision making?

Options:
a. Overconfidence
b. Loyalty to employer
c. Promise of money or prestige

Answer:","a,b,c",a,"{""a"": ""Overconfidence"", ""b"": ""Loyalty to employer"", ""c"": ""Promise of money or prestige Answer:""}",Overconfidence,Loyalty to employer,Promise of money or prestige Answer:,
en_0012,Situational influences in decision making will most likely be minimized if:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Situational influences in decision making will most likely be minimized if:

Options:
a. strong compliance programs are in place.
b. longer-term consequences are considered.
c. individuals believe they are truthful and honest.

Answer:","a,b,c",b,"{""a"": ""strong compliance programs are in place."", ""b"": ""longer-term consequences are considered."", ""c"": ""individuals believe they are truthful and honest. Answer:""}",strong compliance programs are in place.,longer-term consequences are considered.,individuals believe they are truthful and honest. Answer:,
en_0013,Decision makers who use a compliance approach are most likely to:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Decision makers who use a compliance approach are most likely to:

Options:
a. avoid situational influences.
b. oversimplify decision making.
c. consider more factors than when using an ethical decision-making approach.

Answer:","a,b,c",b,"{""a"": ""avoid situational influences."", ""b"": ""oversimplify decision making."", ""c"": ""consider more factors than when using an ethical decision-making approach. Answer:""}",avoid situational influences.,oversimplify decision making.,consider more factors than when using an ethical decision-making approach. Answer:,
en_0014,"To maintain trust, the investment management profession must be interdependent with:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: To maintain trust, the investment management profession must be interdependent with:

Options:
a. regulators.
b. employers.
c. investment firms.

Answer:","a,b,c",c,"{""a"": ""regulators."", ""b"": ""employers."", ""c"": ""investment firms. Answer:""}",regulators.,employers.,investment firms. Answer:,
en_0015,Which is an example of an activity that may be legal but that CFA Institute con-siders unethical?,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Which is an example of an activity that may be legal but that CFA Institute con-siders unethical?

Options:
a. Making legally required disclosures in marketing materials
b. Trading while in possession of material nonpublic information
c. Disclosure by an employee of his or her own company's dishonest activity

Answer:","a,b,c",b,"{""a"": ""Making legally required disclosures in marketing materials"", ""b"": ""Trading while in possession of material nonpublic information"", ""c"": ""Disclosure by an employee of his or her own company's dishonest activity Answer:""}",Making legally required disclosures in marketing materials,Trading while in possession of material nonpublic information,Disclosure by an employee of his or her own company's dishonest activity Answer:,
en_0016,An ethical decision-making framework will most likely:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: An ethical decision-making framework will most likely:

Options:
a. include a pre-determined, uniform sequence.
b. focus exclusively on confirmable facts and relationships.
c. help avoid a decision that has unanticipated ethical consequences.

Answer:","a,b,c",c,"{""a"": ""include a pre-determined, uniform sequence."", ""b"": ""focus exclusively on confirmable facts and relationships."", ""c"": ""help avoid a decision that has unanticipated ethical consequences. Answer:""}","include a pre-determined, uniform sequence.",focus exclusively on confirmable facts and relationships.,help avoid a decision that has unanticipated ethical consequences. Answer:,
en_0017,"When an ethical dilemma occurs, an investment professional should most likely first
raise the issue with a:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: When an ethical dilemma occurs, an investment professional should most likely first
raise the issue with a:

Options:
a. mentor outside the firm.
b. professional body's hotline.
c. senior individual in the firm.

Answer:","a,b,c",c,"{""a"": ""mentor outside the firm."", ""b"": ""professional body's hotline."", ""c"": ""senior individual in the firm. Answer:""}",mentor outside the firm.,professional body's hotline.,senior individual in the firm. Answer:,
en_0018,"Which of the following statements best describes an aspect of the Professional
Conduct Program process?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Which of the following statements best describes an aspect of the Professional
Conduct Program process?

Options:
a. Inquiries are not initiated in response to information provided by the media.
b. Investigations result in Disciplinary Review Committee panels for each case.
c. Investigations may include requesting a written explanation from the mem-ber or candidate.

Answer:","a,b,c",c,"{""a"": ""Inquiries are not initiated in response to information provided by the media."", ""b"": ""Investigations result in Disciplinary Review Committee panels for each case."", ""c"": ""Investigations may include requesting a written explanation from the mem-ber or candidate. Answer:""}",Inquiries are not initiated in response to information provided by the media.,Investigations result in Disciplinary Review Committee panels for each case.,Investigations may include requesting a written explanation from the mem-ber or candidate. Answer:,
en_0019,"A current Code of Ethics principle reads in full, ""Promote the integrity:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: A current Code of Ethics principle reads in full, ""Promote the integrity:

Options:
a. and viability of the global capital markets.""
b. of and uphold the rules governing capital markets.""
c. and viability of the global capital markets for the ultimate benefit of society.""

Answer:","a,b,c",c,"{""a"": ""and viability of the global capital markets.\"""", ""b"": ""of and uphold the rules governing capital markets.\"""", ""c"": ""and viability of the global capital markets for the ultimate benefit of society.\"" Answer:""}","and viability of the global capital markets.""","of and uphold the rules governing capital markets.""","and viability of the global capital markets for the ultimate benefit of society."" Answer:",
en_0020,"Which of the following is correct with regard to the Standards of Professional
Conduct?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Which of the following is correct with regard to the Standards of Professional
Conduct?

Options:
a. They require supervisors to focus only on the detection and prevention of violations.
b. They set ethical conduct requirements for members and candidates that have remained unchanged since their creation.
c. They address the risks and limitations of recommendations being made to clients.

Answer:","a,b,c",c,"{""a"": ""They require supervisors to focus only on the detection and prevention of violations."", ""b"": ""They set ethical conduct requirements for members and candidates that have remained unchanged since their creation."", ""c"": ""They address the risks and limitations of recommendations being made to clients. Answer:""}",They require supervisors to focus only on the detection and prevention of violations.,They set ethical conduct requirements for members and candidates that have remained unchanged since their creation.,They address the risks and limitations of recommendations being made to clients. Answer:,
en_0021,Which of the following statements best describes an aspect of the Standards of Professional Conduct? Members and candidates are required to:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Which of the following statements best describes an aspect of the Standards of Professional Conduct? Members and candidates are required to:

Options:
a. ensure a portfolio mandate is suitable for all investors.
b. promptly disclose changes that might materially affect investment processes.
c. have a reasonable and adequate basis for decisions about client confidentiality.

Answer:","a,b,c",b,"{""a"": ""ensure a portfolio mandate is suitable for all investors."", ""b"": ""promptly disclose changes that might materially affect investment processes."", ""c"": ""have a reasonable and adequate basis for decisions about client confidentiality. Answer:""}",ensure a portfolio mandate is suitable for all investors.,promptly disclose changes that might materially affect investment processes.,have a reasonable and adequate basis for decisions about client confidentiality. Answer:,
en_0022,"A CFA Institute member or candidate violates Standard I|(A) Material Nonpublic
Information by:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: A CFA Institute member or candidate violates Standard I|(A) Material Nonpublic
Information by:

Options:
a. conducting price distortion practices.
b. inappropriately causing others to act.
c. inadequately maintaining investment records.

Answer:","a,b,c",b,"{""a"": ""conducting price distortion practices."", ""b"": ""inappropriately causing others to act."", ""c"": ""inadequately maintaining investment records. Answer:""}",conducting price distortion practices.,inappropriately causing others to act.,inadequately maintaining investment records. Answer:,
en_0023,Standard IIIC) Suitability requires members and candidates in an advisory relationship with a client to:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Standard IIIC) Suitability requires members and candidates in an advisory relationship with a client to:

Options:
a. place their client's interests before their own interests.
b. consider investments in the context of the client's total portfolio.
c. not knowingly make misrepresentations relating to recommendations.

Answer:","a,b,c",b,"{""a"": ""place their client's interests before their own interests."", ""b"": ""consider investments in the context of the client's total portfolio."", ""c"": ""not knowingly make misrepresentations relating to recommendations. Answer:""}",place their client's interests before their own interests.,consider investments in the context of the client's total portfolio.,not knowingly make misrepresentations relating to recommendations. Answer:,
en_0024,Standard III: Duties to Clients states that members and candidates must:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Standard III: Duties to Clients states that members and candidates must:

Options:
a. document client financial constraints after an initial investment action.
b. maintain an equal balance of interests owed to their clients and employers.
c. deal fairly and objectively with all clients when engaging in professional activities.

Answer:","a,b,c",c,"{""a"": ""document client financial constraints after an initial investment action."", ""b"": ""maintain an equal balance of interests owed to their clients and employers."", ""c"": ""deal fairly and objectively with all clients when engaging in professional activities. Answer:""}",document client financial constraints after an initial investment action.,maintain an equal balance of interests owed to their clients and employers.,deal fairly and objectively with all clients when engaging in professional activities. Answer:,
en_0025,Standard IV: Duties to Employers states that members and candidates must not:,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Standard IV: Duties to Employers states that members and candidates must not:

Options:
a. accept any gifts that might compromise their independence and objectivity.
b. deprive their employer of their skills and abilities as related to their employment.
c. accept compensation competing with their employer's interest without the written consent of their employer only.

Answer:","a,b,c",b,"{""a"": ""accept any gifts that might compromise their independence and objectivity."", ""b"": ""deprive their employer of their skills and abilities as related to their employment."", ""c"": ""accept compensation competing with their employer's interest without the written consent of their employer only. Answer:""}",accept any gifts that might compromise their independence and objectivity.,deprive their employer of their skills and abilities as related to their employment.,accept compensation competing with their employer's interest without the written consent of their employer only. Answer:,
en_0026,"Standard V: Investment Analysis, Recommendations, and Actions states that members and candidates must:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Standard V: Investment Analysis, Recommendations, and Actions states that members and candidates must:

Options:
a. find an investment suitable for their client before making a recommendation.
b. make reasonable efforts to ensure that performance presentation is fair, accurate, and complete.
c. distinguish between fact and opinion in the presentation of investment anal-ysis and recommendations.

Answer:","a,b,c",c,"{""a"": ""find an investment suitable for their client before making a recommendation."", ""b"": ""make reasonable efforts to ensure that performance presentation is fair, accurate, and complete."", ""c"": ""distinguish between fact and opinion in the presentation of investment anal-ysis and recommendations. Answer:""}",find an investment suitable for their client before making a recommendation.,"make reasonable efforts to ensure that performance presentation is fair, accurate, and complete.",distinguish between fact and opinion in the presentation of investment anal-ysis and recommendations. Answer:,
en_0027,"Smith, a research analyst with a brokerage firm, decides to change his recommendation for the common stock of Green Company, Inc., from a ""buy"" to a ""sell!"" H mails this change in investment advice to all the firm's clients on Wednesday. The day after the mailing, a client calls with a buy order for 500 shares of Green Company. In this circumstance, Smith should:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Smith, a research analyst with a brokerage firm, decides to change his recommendation for the common stock of Green Company, Inc., from a ""buy"" to a ""sell!"" H mails this change in investment advice to all the firm's clients on Wednesday. The day after the mailing, a client calls with a buy order for 500 shares of Green Company. In this circumstance, Smith should:

Options:
a. accept the order.
b. advise the customer of the change in recommendation before accepting the order.
c. not accept the order because it is contrary to the firm's recommendation.

Answer:","a,b,c",b,"{""a"": ""accept the order."", ""b"": ""advise the customer of the change in recommendation before accepting the order."", ""c"": ""not accept the order because it is contrary to the firm's recommendation. Answer:""}",accept the order.,advise the customer of the change in recommendation before accepting the order.,not accept the order because it is contrary to the firm's recommendation. Answer:,
en_0028,"Which statement about a manager's use of client brokerage commissions violates the
Code and Standards?
A . client may direct a manager to use that client's brokerage commissions to purchase goods and
services for that client.
B. Client brokerage commissions should be used to benefit the client and should be commensurate with the value of the brokerage and research ser-vices received.
C. Client brokerage commissions may be directed to pay for the investment manager's operating
expenses.","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Which statement about a manager's use of client brokerage commissions violates the
Code and Standards?
A . client may direct a manager to use that client's brokerage commissions to purchase goods and
services for that client.
B. Client brokerage commissions should be used to benefit the client and should be commensurate with the value of the brokerage and research ser-vices received.
C. Client brokerage commissions may be directed to pay for the investment manager's operating
expenses.

Options:
b. Client brokerage commissions should be used to benefit the client and should be commensurate with the value of the brokerage and research ser-vices received.
c. Client brokerage commissions may be directed to pay for the investment manager's operating expenses.

Answer:","b,c",c,"{""b"": ""Client brokerage commissions should be used to benefit the client and should be commensurate with the value of the brokerage and research ser-vices received."", ""c"": ""Client brokerage commissions may be directed to pay for the investment manager's operating expenses. Answer:""}",,Client brokerage commissions should be used to benefit the client and should be commensurate with the value of the brokerage and research ser-vices received.,Client brokerage commissions may be directed to pay for the investment manager's operating expenses. Answer:,
